asset,original_count,cleaned_count,filter_rate,char_length_before_mean,char_length_before_median,word_length_before_mean,word_length_before_median,char_length_after_mean,char_length_after_median,word_length_after_mean,word_length_after_median,truncated_count,english_ratio_before,digit_ratio_before,english_ratio_after,digit_ratio_after,keyword_freq_before,keyword_freq_after,positive_keywords_before,negative_keywords_before,positive_keywords_after,negative_keywords_after,number_count_before,number_count_after
DJI_2017-2024_all,1820,1698,0.932967032967033,67.37967032967033,67.0,12.842857142857143,13.0,74.42932862190813,74.0,13.0,13.0,0,0.9383322736895757,0.03369432675027228,0.9281588915244815,0.031249760975068454,0.7774725274725275,0.7926972909305064,375,426,369,422,1038,998
GOLD_2017-2024_all,1920,1595,0.8307291666666666,61.73618352450469,59.0,11.524504692387904,11.0,70.43385579937303,66.0,12.113479623824452,12.0,0,0.9335026949581616,0.0393567467126543,0.9183073885824548,0.03858203982449556,0.5359375,0.5855799373040752,305,125,264,114,810,747
GSPC_2017-2024_all,1880,1462,0.7776595744680851,64.60106382978724,63.0,12.331914893617022,12.0,74.65595075239398,72.0,12.77359781121751,12.0,0,0.9231536440268179,0.03329387163275254,0.9227364195889456,0.032188622378313596,0.6808510638297872,0.7735978112175103,258,160,229,154,768,657
IXIC_2017-2024_all,1920,1399,0.7286458333333333,60.81614583333333,59.0,11.735416666666667,11.0,69.98713366690494,68.0,12.26661901358113,12.0,0,0.9541690772383926,0.02211651411422065,0.9414240522377794,0.01740177800305371,1.0734375,1.1922802001429593,595,358,461,277,603,441
OIL_2017-2024_all,1920,377,0.19635416666666666,36.00989583333333,30.0,9.225520833333333,9.0,71.58355437665783,69.0,12.628647214854112,13.0,0,0.6838080296338694,0.2081897315829335,0.9326453704646057,0.019830716450965263,0.9526041666666667,0.7639257294429708,785,660,110,77,1474,126
SILVER_2017-2024_all,1920,1472,0.7666666666666667,64.0912408759124,63.0,11.656934306569344,11.0,74.0006793478261,71.0,12.343070652173912,12.0,0,0.9392280279116786,0.03220476813061708,0.9277676136002421,0.03025470894423828,0.434375,0.48845108695652173,297,78,263,70,745,607
